model,median_percentage_error,rmsle,within_2x,within_1_5x
LightGBM,0.2422158523476645,0.6799581058205878,0.8553459119496856,0.6855345911949685
Ridge + LightGBM,0.24928561695097268,0.6676976836473673,0.8532494758909853,0.6834381551362684
Linear SVR,0.38753210363461665,0.8618955626719574,0.7023060796645703,0.5094339622641509
Ridge,0.3952035118739003,0.7651695723097781,0.7148846960167715,0.5136268343815513
