entity,tender_no,winner,amount_bhd
وزارة الصناعة والتجارة,TB/20503/2015,BAHRAIN FINANCIAL                         1,"2,778,400.000"
والمتوسطة,RFP/MOIC/2026,CITYNEON MIDDLE EAST                      1,"414,106.000"
والمتوسطة,TB/40130/2026,INTERNATINAL TURNKEY                       1,"54,254.453"
والمتوسطة,RFP/CPD/2025,PLUS RENT A CAR W.L.L.                    1,"415,747.200"
والمتوسطة,TB/19953/2014,EUMETSAT                                   1,"134,856.000"
والمتوسطة,TB/39556/2026,BEYON B.S.C                               1,"136,200.000"
وزارة شئون البلديات والزراعة,MUN/CM/01/2025,NEWCASTLE                                   1,"751,352.791"
وزارة شئون البلديات والزراعة,MUN/NAM/08/2024,THIRD EYE MEDIA                          1,"130,000.000"
وزارة شئون البلديات والزراعة,MUN/SAM/A28/2022,BAHRAIN MEDIA                             1,"26,863.208"
الكترونية,MUN/RI/01/2022,BAHRAIN SECURITY                         1,"7,365.600"
والبلديات                    تغييري,MUN-56-2022,ABDULAZIZ ALSAYED                      1,"35,574.000"
وزارة شئون الشباب,TB/40067/2026,TARTEEB ORGANIZING                    1,"179,300.000"
