model,selected_alpha,train_rows,validation_rows,test_rows,mae_bhd,median_ae_bhd,median_ape,rmsle,median_factor_error,within_2x,within_1_5x
tier1_same_tenders,3.0,310,125,96,1095574.5871718368,149522.61789260223,0.8972888030803998,1.5530987921334052,2.7520489703941995,0.34375,0.19791666666666666
tier2,3.0,310,125,96,954153.4035737846,56538.30498855282,0.4122407396592197,0.8535185784802112,1.604534997401533,0.6458333333333334,0.4583333333333333
